jpg_link;AUTHOR;TITLE;TECHNIQUE;LOCATION;TYPE;SCHOOL;TIMEFRAME;CSS2_1;CSS2_2;CSS2_3;CSS2_4;CSS2_5;CSS2_6;CSS2_7;CSS2_8;CSS2_9;CSS3_1;CSS3_2;CSS3_3;CSS3_4;CSS3_5;CSS3_6;CSS3_7;CSS3_8;CSS3_9;ESA_1;ESA_2;ESA_3;ESA_4;ESA_5;ESA_6;ESA_7;ESA_8;ESA_9
http://www.wga.hu/art/p/palma/giovane/1/5apostle.jpg;PALMA GIOVANE;Apostles at the Virgin's Tomb;Oil on canvas;The Hermitage, St. Petersburg;religious;Italian;1551-1600;gray;green;brown;yellow;brown;brown;brown;brown;black;dimgrey;darkolivegreen;saddlebrown;darkkhaki;peru;saddlebrown;sienna;saddlebrown;black;#8e7952;#68593d;#764821;#af9a6f;#b67d3d;#53311b;#8e5f2d;#9c3f19;#2c1812
http://www.wga.hu/art/a/aertsen/apostles.jpg;AERTSEN, Pieter;Apostles Peter and John;Oil on wood;The Hermitage, St. Petersburg;religious;Netherlandish;1501-1550;gray;gray;green;brown;gray;gray;green;green;brown;dimgrey;grey;darkolivegreen;tan;darkslategray;darkslategray;darkolivegreen;darkolivegreen;sienna;#815f49;#a08667;#704839;#c1ac88;#392e2c;#4b3933;#59443a;#6b5746;#986e50
http://www.wga.hu/art/g/greco_el/10/1003grec.jpg;GRECO, El;Apostles Peter and Paul;Oil on canvas;The Hermitage, St. Petersburg;religious;Spanish;1551-1600;brown;black;maroon;black;brown;black;black;green;black;saddlebrown;black;maroon;black;peru;black;black;darkolivegreen;black;#7d4a31;#180a06;#410a0b;#230506;#c88f62;#23100b;#311b10;#4c2a1a;#0b0404
http://www.wga.hu/art/g/guglie/apotheos.jpg;GUGLIELMI, Gregorio;Apotheosis of the Reign of Catherine II;Oil on canvas;The Hermitage, St. Petersburg;mythological;Italian;1751-1800;black;brown;black;gray;gray;brown;brown;brown;gray;black;rosybrown;black;darkslategray;grey;saddlebrown;tan;rosybrown;dimgrey;#341c1d;#ac8b65;#191016;#483531;#8a7460;#734630;#c7ba9d;#b19d84;#645853
http://www.wga.hu/art/d/dillens/hendrick/archer.jpg;DILLENS, Hendrick Joseph;Archer the Winner;Oil on panel;The Hermitage, St. Petersburg;other;Belgian;1851-1900;black;brown;gray;green;gray;green;gray;black;green;black;tan;darkslategray;darkolivegreen;darkslategray;darkolivegreen;grey;black;darkolivegreen;#271e18;#bfaf8f;#49402e;#5c4e33;#372d21;#553923;#9b8661;#181614;#79603a
http://www.wga.hu/art/v/vredeman/archland.jpg;VREDEMAN DE VRIES, Hans;Architectural Landscape;Oil on panel;The Hermitage, St. Petersburg;landscape;Dutch;1551-1600;gray;green;green;black;brown;gray;green;green;green;darkslategray;darkolivegreen;darkolivegreen;black;sienna;darkslategray;darkolivegreen;darkolivegreen;darkolivegreen;#463a2d;#614a2e;#594a34;#271d1f;#877143;#422f25;#6c5939;#705530;#54412c
http://www.wga.hu/art/r/robert/lancanal.jpg;ROBERT, Hubert;Architectural Landscape with a Canal;Oil on canvas;The Hermitage, St. Petersburg;landscape;French;1751-1800;gray;brown;green;black;black;gray;black;black;gray;darkgray;burlywood;darkolivegreen;black;black;silver;black;black;dimgrey;#aea797;#e0c398;#4d381e;#0e080c;#191010;#cac7be;#2c1d13;#221f1c;#7f6842
http://www.wga.hu/art/c/canalett/6/canal614.jpg;CANALETTO;Arrival of the French Ambassador in Venice;Oil on canvas;The Hermitage, St. Petersburg;historical;Italian;1701-1750;yellow;black;gray;gray;gray;brown;gray;gray;gray;darkkhaki;black;darkslategray;grey;grey;tan;dimgrey;darkslategray;dimgrey;#b3a272;#110e0f;#46443a;#8e9386;#98875f;#cac1a2;#786849;#2c261f;#5c6968
http://www.wga.hu/art/g/gerard_m/artist.jpg;GÉRARD, Marguerite;Artist Painting a Portrait of a Musician;Oil on panel;The Hermitage, St. Petersburg;genre;French;1751-1800;black;gray;black;brown;green;black;black;yellow;brown;black;darkslategray;black;saddlebrown;darkolivegreen;black;black;darkkhaki;sienna;#161312;#342818;#0e0c0e;#594012;#6b5a2c;#1c140a;#211b15;#c3ad6c;#968146
http://www.wga.hu/art/a/andrea/vanni/ascensio.jpg;ANDREA di Vanni d'Andrea;Ascension of Christ;Tempera on wood;The Hermitage, St. Petersburg;religious;Italian;1351-1400;green;brown;brown;brown;brown;gray;green;brown;gray;darkolivegreen;peru;sienna;sienna;sienna;darkgray;darkolivegreen;peru;darkslategray;#714d3a;#c59360;#a64b35;#94684a;#825b43;#9f9c9e;#533c31;#ad764f;#2f2724
http://www.wga.hu/art/g/guercino/0/assumpti.jpg;GUERCINO;Assumption of the Virgin;Oil on canvas;The Hermitage, St. Petersburg;religious;Italian;1601-1650;black;gray;gray;black;maroon;brown;brown;gray;black;black;darkslategray;darkslategray;black;maroon;tan;saddlebrown;dimgrey;black;#100c05;#2e251d;#4a433d;#231608;#472810;#c9b083;#754a1a;#816f53;#191819
http://www.wga.hu/art/c/camilo/assumpti.jpg;CAMILO, Francisco;Assumption of the Virgin;Oil on canvas;The Hermitage, St. Petersburg;religious;Spanish;1651-1700;brown;brown;brown;brown;yellow;brown;maroon;brown;brown;peru;peru;sandybrown;saddlebrown;darkkhaki;sandybrown;maroon;sienna;saddlebrown;#c1903b;#ad8e4e;#e3bb67;#765627;#c29f58;#d6ab53;#411f0e;#9d7330;#84440c
http://www.wga.hu/art/b/boilly/0boilly1.jpg;BOILLY, Louis Léopold;At the Entrance;Oil on panel;The Hermitage, St. Petersburg;genre;French;1751-1800;brown;black;gray;gray;gray;black;black;green;green;tan;black;darkslategray;darkslategray;dimgrey;black;black;darkolivegreen;darkolivegreen;#c5b89b;#2c1c18;#493124;#382820;#7f664d;#181213;#0c0a0b;#6a503b;#563f30
http://www.wga.hu/art/v/vrancx/attack.jpg;VRANCX, Sebastian;Attack of Robbers;Oil on panel;The Hermitage, St. Petersburg;landscape;Flemish;1601-1650;green;black;green;green;gray;gray;brown;brown;gray;darkolivegreen;black;darkolivegreen;darkolivegreen;grey;darkslategray;saddlebrown;saddlebrown;darkslategray;#604923;#261d19;#74623b;#4c381e;#95855e;#3c291a;#745722;#512f13;#4b4032
http://www.wga.hu/art/c/carriera/seasons3.jpg;CARRIERA, Rosalba;Autumn;Pastel on grey paper pasted on cardboard;The Hermitage, St. Petersburg;mythological;Italian;1701-1750;brown;gray;gray;gray;gray;gray;gray;gray;gray;rosybrown;dimgrey;silver;darkslategray;darkslategray;dimgrey;grey;dimgrey;darkslategray;#a79687;#535754;#cfc7bb;#2b2a29;#3e3d3c;#71655d;#8a7569;#63524c;#4a4946
http://www.wga.hu/art/k/kern_a/winter.jpg;KERN, Anton;Autumn and Winter;Oil on canvas;The Hermitage, St. Petersburg;mythological;German;1701-1750;gray;brown;gray;brown;brown;gray;gray;black;yellow;darkslategray;brown;dimgrey;saddlebrown;sienna;darkslategray;silver;black;darkkhaki;#2d272d;#8b2c29;#5d6251;#572527;#7c5b3a;#424038;#c1c0c0;#171426;#cb9c67
http://www.wga.hu/art/m/magnasco/1bacchan.jpg;MAGNASCO, Alessandro;Bacchanalian Scene;Oil on canvas;The Hermitage, St. Petersburg;mythological;Italian;1701-1750;green;green;black;yellow;gray;green;gray;green;green;darkolivegreen;darkolivegreen;black;darkkhaki;grey;darkolivegreen;grey;darkolivegreen;darkolivegreen;#64522c;#50452b;#2e261b;#c1a863;#908457;#79693c;#959c7a;#44361f;#5b5841
http://www.wga.hu/art/c/cassana/niccolo/bacchana.jpg;CASSANA, Niccolò;Bacchanalian Scene;Oil on canvas;The Hermitage, St. Petersburg;mythological;Italian;1651-1700;gray;maroon;brown;green;brown;yellow;black;gray;gray;dimgrey;maroon;tan;darkolivegreen;saddlebrown;darkkhaki;black;darkslategray;grey;#7a6449;#462114;#d7c395;#523f2c;#70492d;#bba174;#1c110e;#302c23;#9d805a
http://www.wga.hu/art/e/epinay/bacchant.jpg;EPINAY, Prosper d';Bacchante;Marble;The Hermitage, St. Petersburg;mythological;French;1851-1900;gray;gray;black;gray;black;gray;gray;gray;gray;lightgray;dimgrey;black;darkslategray;black;grey;grey;darkgray;darkslategray;#d8cbce;#615e5f;#05090a;#313133;#1d1e20;#7a767a;#7e746f;#a2979a;#484748
http://www.wga.hu/art/r/rubens/23mythol/53mythol.jpg;RUBENS, Peter Paul;Bacchus;Oil on canvas;The Hermitage, St. Petersburg;mythological;Flemish;1601-1650;brown;brown;black;brown;brown;green;yellow;brown;green;sienna;saddlebrown;black;saddlebrown;saddlebrown;darkolivegreen;darkkhaki;sienna;darkolivegreen;#a5783b;#7f531b;#211208;#684517;#5e390f;#675432;#c4a36a;#866b42;#462f12
http://www.wga.hu/art/t/turchi/bacchus.jpg;TURCHI, Alessandro;Bacchus and Ariadne;Oil on canvas;The Hermitage, St. Petersburg;mythological;Italian;1601-1650;brown;brown;black;gray;brown;yellow;brown;gray;green;saddlebrown;sienna;black;grey;tan;darkkhaki;saddlebrown;silver;darkolivegreen;#844d23;#9f6b38;#241611;#9a8060;#d1b58a;#c5a269;#5c2f17;#dac7a9;#614b36
http://www.wga.hu/art/b/bol/bacchus.jpg;BOL, Ferdinand;Bacchus and Ariadne;Oil on canvas;The Hermitage, St. Petersburg;mythological;Dutch;1651-1700;brown;yellow;brown;black;black;gray;green;black;black;sienna;darkkhaki;saddlebrown;black;black;darkslategray;darkolivegreen;black;black;#9c6125;#cda462;#65451d;#060d10;#331d14;#2b2a1e;#43321a;#131414;#201c14
http://www.wga.hu/art/b/bonavia/baia_bay.jpg;BONAVIA, Carlo;Baia Bay;Oil on canvas;The Hermitage, St. Petersburg;landscape;Italian;1751-1800;brown;gray;gray;gray;gray;green;black;gray;gray;rosybrown;darkgray;lightslategrey;grey;silver;darkolivegreen;black;darkgray;dimgrey;#b49672;#b8b2aa;#90948f;#7f8883;#d3c5b8;#58472a;#211b15;#a1a19c;#76725b
http://www.wga.hu/art/m/murillo/1/102murin.jpg;MURILLO, Bartolomé Esteban;Baking of Flat Cakes;Oil on canvas;The Hermitage, St. Petersburg;genre;Spanish;1651-1700;black;brown;black;black;black;maroon;black;gray;brown;black;saddlebrown;black;black;black;maroon;black;darkslategray;sienna;#342017;#704928;#371a14;#29201f;#261714;#4a2216;#181214;#3f3126;#9c7446
http://www.wga.hu/art/m/magnasco/3banditt.jpg;MAGNASCO, Alessandro;Banditti at Rest;Oil on canvas;The Hermitage, St. Petersburg;landscape;Italian;1701-1750;green;gray;green;gray;gray;brown;black;black;gray;darkolivegreen;darkslategray;darkolivegreen;darkgray;dimgrey;rosybrown;black;black;grey;#746244;#3e3228;#5b4b38;#a49f94;#847252;#a59373;#291d18;#1a120f;#8f8166
http://www.wga.hu/art/p/pynacker/barge.jpg;PYNACKER, Adam;Barges on a River;Oil on canvas;The Hermitage, St. Petersburg;landscape;Dutch;1651-1700;gray;yellow;gray;yellow;gray;gray;gray;brown;black;dimgrey;darkkhaki;darkgray;khaki;grey;darkslategray;lightgray;rosybrown;black;#716247;#bc9e64;#afacb1;#edd399;#847f74;#322a1f;#d8ccbd;#aea084;#100b14
http://www.wga.hu/art/d/dael/basket.jpg;DAEL, Jan Frans van;Basket of Fruit;Oil on canvas;The Hermitage, St. Petersburg;still-life;Belgian;1801-1850;brown;brown;green;brown;black;brown;maroon;black;black;saddlebrown;saddlebrown;darkolivegreen;saddlebrown;black;darkgoldenrod;maroon;black;black;#8c5a14;#593c0c;#3f3613;#6a5015;#190a03;#bd8b1f;#422c06;#312509;#2b1904
http://www.wga.hu/art/n/naldini/bathsheb.jpg;NALDINI, Giovan Battista;Bathsheba;Oil on canvas;The Hermitage, St. Petersburg;mythological;Italian;1551-1600;black;black;green;black;brown;brown;gray;brown;brown;black;black;darkolivegreen;black;burlywood;saddlebrown;darkslategray;sienna;peru;#3c2116;#15080a;#483724;#2a1511;#e1b878;#59321d;#33251d;#7d5834;#b28855
http://www.wga.hu/art/m/meulen/battle1.jpg;MEULEN, Adam Frans van der;Battle;Oil on canvas;The Hermitage, St. Petersburg;historical;Flemish;1651-1700;green;green;brown;gray;gray;gray;black;gray;brown;darkolivegreen;darkolivegreen;rosybrown;grey;dimgrey;darkslategray;black;darkslategray;sienna;#5e4b3d;#523b31;#aa9270;#857667;#5f595d;#3b2d31;#160e23;#261e2b;#866641
http://www.wga.hu/art/c/corte_j/battle_t.jpg;CORTE, Juan de la;Battle;Oil on canvas;The Hermitage, St. Petersburg;historical;Spanish;1601-1650;green;black;gray;green;black;gray;black;brown;green;darkolivegreen;black;darkslategray;darkolivegreen;black;darkslategray;black;sienna;darkolivegreen;#4d3218;#291a18;#392719;#6e5a2e;#31201b;#42311d;#1d131a;#8e7b45;#5a421f
